features.hero_position,features.pot_bb,features.to_call_bb,features.effective_stack_bb,features.can_check,features.can_call,features.can_raise,features.players_active,features.equity_win,features.call_max_bb,features.call_margin_bb,features.bet_size_bb
OOP,0.08,0.005,1.0,0.0,1.0,1.0,2.0,0.5956666667,0.117856554,0.112856554,0.005
OOP,0.12,0.005,1.0,0.0,1.0,1.0,2.0,0.3926666667,0.0775850714,0.0725850714,0.005
IP,0.12,0.005,1.0,0.0,1.0,1.0,2.0,0.365,0.068976378,0.063976378,0.005
OOP,0.12,0.005,1.0,0.0,1.0,1.0,2.0,0.47,0.1064150943,0.1014150943,0.005
OOP,0.16,0.005,1.0,0.0,1.0,1.0,2.0,0.4633333333,0.1381366459,0.1331366459,0.005
IP,0.12,0.0025,1.0,0.0,1.0,1.0,2.0,0.429,0.0901576182,0.0876576182,0.0025
IP,0.12,0.0025,1.0,0.0,1.0,1.0,2.0,0.35,0.0646153846,0.0621153846,0.0025
OOP,0.1,0.005,1.0,0.0,1.0,1.0,2.0,0.72,0.2571428571,0.2521428571,0.005
OOP,0.16,0.005,1.0,0.0,1.0,1.0,2.0,0.72,0.4114285714,0.4064285714,0.005
IP,0.08,0.0025,1.0,0.0,1.0,1.0,2.0,0.5566666667,0.1004511278,0.0979511278,0.0025
OOP,0.12,0.0025,1.0,0.0,1.0,1.0,2.0,0.3516666667,0.0650899743,0.0625899743,0.0025
IP,0.1,0.005,1.0,0.0,1.0,1.0,2.0,0.72,0.2571428571,0.2521428571,0.005
OOP,0.2,0.005,1.0,0.0,1.0,1.0,2.0,0.2966666667,0.0843601896,0.0793601896,0.005
OOP,0.2,0.005,1.0,0.0,1.0,1.0,2.0,0.265,0.0721088435,0.0671088435,0.005
