source_dataset,source_row_id,hand_id,stage_group,metadata.street,split,features.hero_position,features.pot_bb,features.to_call_bb,features.effective_stack_bb,features.can_check,features.can_call,features.can_raise,features.players_active,features.bet_size_bb,features.equity_win,features.call_max_bb,features.call_margin_bb,label_3intent
solver_policy,0756b4bca9a974c875da968e541ccd5c7dd46940,synthetic:1,RIVER,RIVER,train,SB,0.9,0.3,49.8,0.0,1.0,1.0,2.0,0.3,0.4366666667,0.6976331362,0.3976331362,RAISE
solver_policy,aa69ce0467a6b33a53680e9f5c01c94ae327dea7,synthetic:2,RIVER,RIVER,train,CO,4.1,0.0,49.8,1.0,0.0,1.0,2.0,2.05,0.46,3.4925925926,3.4925925926,NO_INVEST
solver_policy,9da55a4bddc4ccf22976334cdaa8b678026cc19d,synthetic:3,PREFLOP,PREFLOP,train,SB,1.9,0.2,49.9,0.0,1.0,1.0,1.0,0.2,0.4366666667,1.4727810653,1.2727810653,RAISE
solver_policy,59debd91e515cf408db25d1b0c50038f615d57f2,synthetic:4,RIVER,RIVER,train,MP,1.6,0.0,49.6,1.0,0.0,1.0,4.0,0.8,0.1503333333,0.2830914083,0.2830914083,NO_INVEST
solver_policy,7a7883fa8649d158442264bdb5c6239a1ffb14a9,synthetic:5,FLOP,FLOP,train,BTN,1.6,0.0,49.9,1.0,0.0,1.0,1.0,0.8,0.485,1.5067961165,1.5067961165,NO_INVEST
solver_policy,b942f470ca7c1f902ad7ca3975359915bd7f2626,synthetic:6,TURN,TURN,train,UTG,1.2,0.1,49.8,0.0,1.0,1.0,2.0,0.1,0.535,1.3806451613,1.2806451613,RAISE
solver_policy,5b30dcbdc2f969f6f03afa748b0215d01c6926c8,synthetic:7,PREFLOP,PREFLOP,train,SB,2.7,0.3,49.6,0.0,1.0,1.0,4.0,0.3,0.2693333333,0.9952554743,0.6952554743,RAISE
solver_policy,af5f374ab81014ef035428c87c314a8e45d4d3ab,synthetic:8,TURN,TURN,train,CO,0.5,0.0,49.7,1.0,0.0,1.0,3.0,0.25,0.5616666667,0.6406844107,0.6406844107,NO_INVEST
solver_policy,a512c72ade00539b488bda5c21c496495764d377,synthetic:9,TURN,TURN,train,BTN,3.3,0.0,49.8,1.0,0.0,1.0,2.0,1.65,0.767,10.8630901288,10.8630901288,NO_INVEST
solver_policy,49204d7d6ed31bad7acfd18b5f6c3caffe9ca828,synthetic:10,RIVER,RIVER,train,BB,4.3,1.7,49.6,0.0,1.0,1.0,4.0,1.7,0.3783333333,2.6168900801,0.9168900801,CALL
solver_policy,cb70501b59a78fda1284342474a928266e8a3046,synthetic:11,RIVER,RIVER,train,MP,1.8,0.0,49.6,1.0,0.0,1.0,4.0,0.9,0.1936666667,0.4323274081,0.4323274081,NO_INVEST
solver_policy,8162506f5f8b9b55c37d48d54ea6a1bba5fd6be2,synthetic:12,RIVER,RIVER,train,BTN,4.6,0.0,49.8,1.0,0.0,1.0,2.0,2.3,0.3493333333,2.4696721308,2.4696721308,NO_INVEST
solver_policy,a73af15bf78bdf2a7e211922eb98aab25e1cfda6,synthetic:13,RIVER,RIVER,train,BB,3.3,0.0,49.7,1.0,0.0,1.0,3.0,1.65,0.2666666667,1.2000000002,1.2000000002,NO_INVEST
solver_policy,cdea97b3b81a48cd7e0393143ea1994b56a9ecd5,synthetic:14,TURN,TURN,train,SB,4.8,1.0,49.7,0.0,1.0,1.0,3.0,1.0,0.7296666667,12.9558569689,11.9558569689,RAISE
solver_policy,dd1fac8c9ba0a1f9cc5f1b828847d46ea5d2b8e7,synthetic:15,FLOP,FLOP,train,SB,1.3,0.3,49.9,0.0,1.0,1.0,1.0,0.3,0.38,0.7967741935,0.4967741935,RAISE
solver_policy,736536ae304d8a7b2514d2f8655c1339f2d2e1c5,synthetic:16,FLOP,FLOP,train,SB,4.5,0.0,49.7,1.0,0.0,1.0,3.0,2.25,0.1653333333,0.8913738017,0.8913738017,NO_INVEST
solver_policy,ec10fd4aa2f75863fe99141f0438371990ee1c0b,synthetic:17,FLOP,FLOP,train,BTN,2.5,0.0,49.6,1.0,0.0,1.0,4.0,1.25,0.719,6.396797153,6.396797153,NO_INVEST
