features.hero_position,features.pot_bb,features.to_call_bb,features.effective_stack_bb,features.can_check,features.can_call,features.can_raise,features.players_active,features.equity_win,features.call_max_bb,features.call_margin_bb,features.bet_size_bb
OOP,0.16,0.0,1.0,1.0,0.0,1.0,2.0,0.7633333333,0.5160563379,0.5160563379,0.0528
OOP,0.1,0.0,1.0,1.0,0.0,1.0,2.0,0.7633333333,0.3225352112,0.3225352112,0.033
OOP,0.1,0.0,1.0,1.0,0.0,1.0,2.0,0.395,0.0652892562,0.0652892562,0.033
OOP,0.12,0.0,1.0,1.0,0.0,1.0,2.0,0.299,0.0511840228,0.0511840228,0.0396
OOP,0.12,0.0,1.0,1.0,0.0,1.0,2.0,0.5226666667,0.1313966481,0.1313966481,0.0396
OOP,0.16,0.0,1.0,1.0,0.0,1.0,2.0,0.5226666667,0.1751955308,0.1751955308,0.0528
OOP,0.16,0.0,1.0,1.0,0.0,1.0,2.0,0.787,0.5911737089,0.5911737089,0.0528
OOP,0.1,0.0,1.0,1.0,0.0,1.0,2.0,0.4066666667,0.0685393259,0.0685393259,0.033
OOP,0.1,0.0,1.0,1.0,0.0,1.0,2.0,0.4516666667,0.0823708207,0.0823708207,0.033
OOP,0.16,0.0,1.0,1.0,0.0,1.0,2.0,0.5156666667,0.170350998,0.170350998,0.0528
OOP,0.2,0.0,1.0,1.0,0.0,1.0,2.0,0.3783333333,0.1217158177,0.1217158177,0.066
OOP,0.1,0.0,1.0,1.0,0.0,1.0,2.0,0.9183333333,1.1244897954,1.1244897954,0.033
OOP,0.1,0.0,1.0,1.0,0.0,1.0,2.0,0.598,0.1487562189,0.1487562189,0.033
OOP,0.1,0.0,1.0,1.0,0.0,1.0,2.0,0.7633333333,0.3225352112,0.3225352112,0.033
OOP,0.12,0.0,1.0,1.0,0.0,1.0,2.0,0.2533333333,0.0407142857,0.0407142857,0.0396
OOP,0.12,0.0,1.0,1.0,0.0,1.0,2.0,0.34,0.0618181818,0.0618181818,0.0396
OOP,0.2,0.0,1.0,1.0,0.0,1.0,2.0,0.2626666667,0.0712477396,0.0712477396,0.066
OOP,0.2,0.0,1.0,1.0,0.0,1.0,2.0,0.258,0.069541779,0.069541779,0.066
OOP,0.2,0.0,1.0,1.0,0.0,1.0,2.0,0.6583333333,0.3853658536,0.3853658536,0.066
OOP,0.12,0.0,1.0,1.0,0.0,1.0,2.0,0.34,0.0618181818,0.0618181818,0.0396
OOP,0.12,0.0,1.0,1.0,0.0,1.0,2.0,0.4233333333,0.0880924855,0.0880924855,0.0396
OOP,0.12,0.0,1.0,1.0,0.0,1.0,2.0,0.265,0.0432653061,0.0432653061,0.0396
OOP,0.16,0.0,1.0,1.0,0.0,1.0,2.0,0.5203333333,0.1735649757,0.1735649757,0.0528
OOP,0.16,0.0,1.0,1.0,0.0,1.0,2.0,0.2933333333,0.0664150943,0.0664150943,0.0528
OOP,0.12,0.0,1.0,1.0,0.0,1.0,2.0,0.38,0.0735483871,0.0735483871,0.0396
OOP,0.1,0.0,1.0,1.0,0.0,1.0,2.0,0.265,0.0360544218,0.0360544218,0.033
OOP,0.16,0.0,1.0,1.0,0.0,1.0,2.0,0.4266666667,0.1190697675,0.1190697675,0.0528
OOP,0.12,0.0,1.0,1.0,0.0,1.0,2.0,0.5203333333,0.1301737317,0.1301737317,0.0396
OOP,0.16,0.0,1.0,1.0,0.0,1.0,2.0,0.306,0.0705475504,0.0705475504,0.0528
OOP,0.12,0.0,1.0,1.0,0.0,1.0,2.0,0.365,0.068976378,0.068976378,0.0396
IP,0.12,0.06,1.0,0.0,1.0,1.0,2.0,0.7656666667,0.3920910385,0.3320910385,0.06
IP,0.24,0.04,1.0,0.0,1.0,1.0,2.0,0.4166666667,0.1714285715,0.1314285715,0.04
IP,0.24,0.02,1.0,0.0,1.0,1.0,2.0,0.427,0.1788481675,0.1588481675,0.02
IP,0.12,0.04,1.0,0.0,1.0,1.0,2.0,0.4793333333,0.1104737516,0.0704737516,0.04
IP,0.12,0.02,1.0,0.0,1.0,1.0,2.0,0.306,0.0529106628,0.0329106628,0.02
IP,0.12,0.06,1.0,0.0,1.0,1.0,2.0,0.477,0.1094455067,0.0494455067,0.06
IP,0.12,0.04,1.0,0.0,1.0,1.0,2.0,0.5636666667,0.1550190986,0.1150190986,0.04
