source_dataset,source_row_id,hand_id,stage_group,metadata.street,split,features.hero_position,features.pot_bb,features.to_call_bb,features.effective_stack_bb,features.can_check,features.can_call,features.can_raise,features.players_active,features.bet_size_bb,features.equity_win,features.call_max_bb,features.call_margin_bb,label_3intent
solver_policy,781f971541d83d8b3e0ccdab09f565a6250ab387,synthetic_hero_snapshot_hero_oop_check_or_bet_river_seed_1168444490_000000,RIVER,RIVER,train,OOP,0.16,0.0,1.0,1.0,0.0,1.0,2.0,0.0528,0.3856666667,0.1004449268,0.1004449268,NO_INVEST
solver_policy,8286d3c1e329ac3f511912c114126c066722d8e2,synthetic_hero_snapshot_hero_oop_check_or_bet_river_seed_1168444490_000001,RIVER,RIVER,test,OOP,0.1,0.0,1.0,1.0,0.0,1.0,2.0,0.033,0.4016666667,0.0671309192,0.0671309192,RAISE
solver_policy,2ce929d6d018f488250ccdebe53c495b8208bc1c,synthetic_hero_snapshot_hero_oop_check_or_bet_river_seed_1168444490_000002,RIVER,RIVER,train,OOP,0.16,0.0,1.0,1.0,0.0,1.0,2.0,0.0528,0.3083333333,0.0713253012,0.0713253012,NO_INVEST
solver_policy,0348d81afdec4ea062297058e988e7867e8b06b1,synthetic_hero_snapshot_hero_oop_check_or_bet_river_seed_1168444490_000003,RIVER,RIVER,test,OOP,0.12,0.0,1.0,1.0,0.0,1.0,2.0,0.0396,0.7656666667,0.3920910385,0.3920910385,NO_INVEST
solver_policy,f6101178a02f066077648209e2c6e16175c29cbf,synthetic_hero_snapshot_hero_oop_check_or_bet_river_seed_1168444490_000004,RIVER,RIVER,train,OOP,0.2,0.0,1.0,1.0,0.0,1.0,2.0,0.066,0.347,0.1062787136,0.1062787136,NO_INVEST
solver_policy,da9154ea8202b70f47683da6c1e115df3457aacf,synthetic_hero_snapshot_hero_oop_check_or_bet_river_seed_1168444490_000005,RIVER,RIVER,train,OOP,0.2,0.0,1.0,1.0,0.0,1.0,2.0,0.066,0.429,0.150262697,0.150262697,RAISE
solver_policy,35172f86fbec6888a51af440ab6d8d67acf6a465,synthetic_hero_snapshot_hero_oop_check_or_bet_river_seed_1168444490_000006,RIVER,RIVER,validation,OOP,0.2,0.0,1.0,1.0,0.0,1.0,2.0,0.066,0.436,0.1546099291,0.1546099291,NO_INVEST
solver_policy,7f70eefabaacb498069f9418bb9287ab193bde90,synthetic_hero_snapshot_hero_oop_check_or_bet_river_seed_1168444490_000007,RIVER,RIVER,train,OOP,0.2,0.0,1.0,1.0,0.0,1.0,2.0,0.066,0.3083333333,0.0891566265,0.0891566265,NO_INVEST
solver_policy,ede1c9c0b9c0111b45e1d922867509aaeba32c74,synthetic_hero_snapshot_hero_ip_facing_bet_river_seed_559133009_000000,RIVER,RIVER,train,IP,0.2,0.06,1.0,0.0,1.0,1.0,2.0,0.06,0.3423333333,0.1041054232,0.0441054232,RAISE
solver_policy,a295f21a5035f61fe0ae087b881ffbe6144b19cb,synthetic_hero_snapshot_hero_ip_facing_bet_river_seed_559133009_000001,RIVER,RIVER,test,IP,0.24,0.02,1.0,0.0,1.0,1.0,2.0,0.02,0.4066666667,0.164494382,0.144494382,RAISE
