features.hero_position,features.pot_bb,features.to_call_bb,features.effective_stack_bb,features.can_check,features.can_call,features.can_raise,features.players_active,features.equity_win,features.call_max_bb,features.call_margin_bb
HJ,115.5,6.5,100.0,0.0,1.0,0.0,4.0,0.3375,58.83962264150944,52.33962264150944
SB,142.0,20.0,100.0,0.0,1.0,0.0,4.0,0.621528,233.19288084719605,213.19288084719605
BB,6.1,0.0,100.0,0.0,0.0,0.0,3.0,0.406944,4.185706577456429,4.185706577456429
UTG,49.0,0.0,100.0,0.0,0.0,1.0,4.0,0.165278,9.702178689431932,9.702178689431932
SB,103.0,3.0,100.0,0.0,1.0,0.0,2.0,0.808333,434.39036975587857,431.39036975587857
BB,116.5,14.0,100.0,0.0,1.0,0.0,3.0,0.666667,233.00034950034956,219.00034950034956
BTN,55.0,0.0,100.0,0.0,0.0,0.0,5.0,0.1625,10.671641791044776,10.671641791044776
BTN,18.0,0.0,100.0,0.0,0.0,1.0,3.0,0.333333,8.99998650000675,8.99998650000675
CO,16.3,13.5,100.0,0.0,1.0,0.0,2.0,0.641667,29.18841440782736,15.68841440782736
SB,7.5,0.0,100.0,0.0,0.0,0.0,4.0,0.3375,3.820754716981132,3.820754716981132
BB,53.2,0.0,100.0,0.0,0.0,0.0,5.0,0.414167,37.61086248128733,37.61086248128733
SB,1.5,1.0,100.0,0.0,1.0,0.0,1.0,0.604167,2.289476875348948,1.289476875348948
BB,17.0,14.0,100.0,0.0,1.0,0.0,2.0,0.858333,102.9997176477232,88.9997176477232
UTG,133.5,29.0,100.0,0.0,1.0,0.0,4.0,0.3375,68.00943396226417,39.00943396226417
SB,120.0,15.0,100.0,0.0,1.0,0.0,4.0,0.635417,209.14315807374453,194.14315807374453
BB,148.5,25.0,100.0,0.0,1.0,0.0,6.0,0.126389,21.484123368409968,-3.5158766315900323
CO,102.8,2.3,100.0,0.0,1.0,0.0,2.0,0.5375,119.47027027027023,117.17027027027024
BTN,45.0,0.0,100.0,0.0,0.0,0.0,4.0,0.541667,53.1818895868288,53.1818895868288
SB,103.5,2.0,100.0,0.0,1.0,0.0,3.0,0.3125,47.04545454545455,45.04545454545455
UTG,130.0,14.0,100.0,0.0,1.0,0.0,4.0,0.427083,96.908958889333,82.908958889333
BB,155.0,35.0,100.0,0.0,1.0,0.0,3.0,0.708333,376.4279640823268,341.4279640823268
UTG,104.0,2.0,100.0,0.0,1.0,0.0,3.0,0.666667,208.000312000312,206.000312000312
BB,147.3,31.0,100.0,0.0,1.0,0.0,4.0,0.45625,123.59655172413794,92.59655172413794
HJ,122.1,13.1,100.0,0.0,1.0,0.0,4.0,0.202083,30.923434768277907,17.823434768277906
SB,1.5,1.0,100.0,0.0,1.0,0.0,1.0,0.6375,2.637931034482758,1.637931034482758
BTN,149.5,21.0,100.0,0.0,1.0,0.0,4.0,0.329167,73.35725359366637,52.35725359366637
BB,128.5,14.0,100.0,0.0,1.0,0.0,3.0,0.455556,107.52060083314356,93.52060083314356
BB,4.0,3.0,100.0,0.0,1.0,0.0,2.0,0.404167,2.7132904689736885,-0.28670953102631147
HJ,138.0,9.5,100.0,0.0,1.0,0.0,5.0,0.51,143.6326530612245,134.1326530612245
CO,31.5,0.0,100.0,0.0,0.0,0.0,4.0,0.2375,9.811475409836063,9.811475409836063
SB,103.2,0.0,100.0,0.0,0.0,1.0,4.0,0.44375,82.32808988764044,82.32808988764044
UTG,1.5,0.0,100.0,0.0,0.0,0.0,1.0,0.5125,1.5769230769230766,1.5769230769230766
SB,120.0,10.0,100.0,0.0,1.0,0.0,3.0,0.486111,113.51346302411608,103.51346302411608
BB,5.5,0.0,100.0,0.0,0.0,0.0,3.0,0.716667,13.911787543279466,13.911787543279466
UTG,30.0,0.0,100.0,0.0,0.0,1.0,4.0,0.320833,14.171757461714126,14.171757461714126
SB,5.5,0.0,100.0,0.0,0.0,0.0,3.0,0.695833,12.582171964743054,12.582171964743054
BB,119.0,15.0,100.0,0.0,1.0,0.0,4.0,0.533333,135.99981785727294,120.99981785727294
CO,14.8,11.5,100.0,0.0,1.0,0.0,2.0,0.616667,23.80872922498193,12.308729224981931
SB,1.5,1.0,100.0,0.0,1.0,0.0,1.0,0.595833,2.211337145288952,1.2113371452889519
HJ,148.0,25.0,100.0,0.0,1.0,0.0,5.0,0.380833,91.03082690130448,66.03082690130448
UTG,20.5,14.0,100.0,0.0,1.0,1.0,4.0,0.258333,7.140437015533924,-6.859562984466076
SB,4.0,0.0,100.0,0.0,0.0,0.0,2.0,0.65,7.42857142857143,7.42857142857143
CO,23.1,13.1,100.0,0.0,1.0,1.0,3.0,0.298611,9.834648247976515,-3.2653517520234843
BTN,1.5,0.0,100.0,0.0,0.0,0.0,1.0,0.491667,1.450821607096136,1.450821607096136
BB,116.5,14.0,100.0,0.0,1.0,0.0,3.0,0.558333,147.2733858314069,133.2733858314069
BB,53.2,31.2,100.0,0.0,1.0,1.0,5.0,0.275,20.17931034482759,-11.020689655172408
BB,121.0,15.0,100.0,0.0,1.0,0.0,5.0,0.333333,60.49990925004537,45.49990925004537
CO,26.0,18.0,100.0,0.0,1.0,1.0,2.0,0.791667,98.80019968031952,80.80019968031952
SB,118.0,0.0,100.0,0.0,0.0,0.0,4.0,0.266667,42.90916404962002,42.90916404962002
SB,11.0,0.0,100.0,0.0,0.0,1.0,3.0,0.4625,9.465116279069768,9.465116279069768
SB,40.0,24.0,100.0,0.0,1.0,1.0,3.0,0.379167,24.429564794397205,0.42956479439720496
HJ,101.5,1.0,100.0,0.0,1.0,0.0,2.0,0.804167,416.7987545510715,415.7987545510715
BB,42.2,26.2,100.0,0.0,1.0,1.0,3.0,0.341667,21.901298279138366,-4.298701720861633
SB,11.3,0.0,100.0,0.0,0.0,0.0,3.0,0.4,7.533333333333334,7.533333333333334
BTN,5.5,0.0,100.0,0.0,0.0,0.0,3.0,0.3875,3.4795918367346936,3.4795918367346936
BB,4.0,3.0,100.0,0.0,1.0,0.0,2.0,0.529167,4.495581235809725,1.4955812358097251
BB,48.2,29.2,100.0,0.0,1.0,1.0,4.0,0.445833,38.77739129179471,9.577391291794708
SB,49.0,0.0,100.0,0.0,0.0,0.0,5.0,0.245,15.900662251655628,15.900662251655628
HJ,135.5,0.0,100.0,0.0,0.0,0.0,3.0,0.636111,236.86629851410729,236.86629851410729
HJ,51.5,0.0,100.0,0.0,0.0,1.0,4.0,0.325,24.79629629629629,24.79629629629629
SB,123.0,20.0,100.0,0.0,1.0,0.0,3.0,0.75,369.0,349.0
