features.to_call_bb,features.effective_stack_bb,features.players_active,features.equity_win,features.equity_win_present,features.call_max_bb,features.call_margin_bb,features.pot_certain_bb,features.pot_probable_bb,features.pot_probable_margin_bb,features.ev_certain_bb,features.ev_probable_bb,features.bet_size_bb
1.0,100.0,6.0,0.141667,0.141667,27.068035366227324,26.068035366227324,165.0,170.0,169.0,22.375054999999996,23.083389999999998,1.0
2.0,100.0,6.0,0.304167,0.304167,33.22160920795651,31.22160920795651,78.0,88.0,86.0,21.725026000000003,24.766696000000003,2.0
9.0,100.0,6.0,0.022222,0.022222,1.86361730372334,-7.1363826962766606,91.0,136.0,127.0,-6.977798,-5.977808,9.0
5.0,100.0,6.0,0.623611,0.623611,18.22508362359155,13.225083623591551,16.0,41.0,36.0,4.977776,20.568051,5.0
1.0,100.0,6.0,0.192361,0.192361,10.00343222652695,9.00343222652695,43.0,48.0,47.0,7.271523,8.233328,1.0
1.0,100.0,6.0,0.529167,0.529167,109.01784496838584,108.01784496838584,98.0,103.0,102.0,50.858366000000004,53.50420100000001,1.0
8.0,100.0,6.0,0.818056,0.818056,130.3897023259904,122.38970232599041,37.0,77.0,69.0,22.268072,54.990312,8.0
5.0,100.0,6.0,0.225,0.225,28.161290322580644,23.161290322580644,102.0,127.0,122.0,17.95,23.575,5.0
0.0,100.0,6.0,0.05,0.05,1.8947368421052635,1.8947368421052635,36.0,36.0,36.0,1.8,1.8,0.0
5.0,100.0,6.0,0.844444,0.844444,233.4277816349096,228.4277816349096,48.0,73.0,68.0,35.533311999999995,56.644411999999996,5.0
5.0,100.0,6.0,0.158333,0.158333,12.603928869731142,7.603928869731142,72.0,97.0,92.0,6.3999760000000006,10.358301,5.0
1.0,100.0,6.0,0.375,0.375,17.4,16.4,30.0,35.0,34.0,10.25,12.125,1.0
9.0,100.0,6.0,0.079167,0.079167,8.597324379121948,-0.40267562087805153,109.0,154.0,145.0,-0.3707969999999996,3.191718,9.0
1.0,100.0,6.0,0.004167,0.004167,0.1171642233185684,-0.8828357766814316,29.0,34.0,33.0,-0.879157,-0.858322,1.0
0.0,100.0,6.0,0.075,0.075,3.081081081081081,3.081081081081081,38.0,38.0,38.0,2.85,2.85,0.0
9.0,100.0,6.0,0.638889,0.638889,83.15388620119577,74.15388620119577,56.0,101.0,92.0,26.777784000000004,55.527789,9.0
0.0,100.0,6.0,0.177778,0.177778,4.32433089846781,4.32433089846781,20.0,20.0,20.0,3.55556,3.55556,0.0
5.0,100.0,6.0,0.009722,0.009722,0.1079918972248197,-4.89200810277518,16.0,41.0,36.0,-4.844448,-4.601398,5.0
0.0,100.0,6.0,0.1,0.1,5.666666666666667,5.666666666666667,51.0,51.0,51.0,5.1000000000000005,5.1000000000000005,0.0
1.0,100.0,6.0,0.175,0.175,6.787878787878788,5.787878787878788,33.0,38.0,37.0,4.7749999999999995,5.6499999999999995,1.0
6.0,100.0,6.0,0.016667,0.016667,0.9491718471768974,-5.050828152823103,62.0,92.0,86.0,-4.966646,-4.466635999999999,6.0
8.0,100.0,6.0,0.591667,0.591667,33.326576593123754,25.326576593123754,31.0,71.0,63.0,10.341677,34.008357000000004,8.0
1.0,100.0,6.0,0.066667,0.066667,4.28573724490616,3.2857372449061604,61.0,66.0,65.0,3.066687,3.400022,1.0
1.0,100.0,6.0,0.254167,0.254167,39.87157849009095,38.87157849009095,118.0,123.0,122.0,28.991705999999997,30.262541,1.0
1.0,100.0,6.0,0.7875,0.7875,137.1176470588235,136.1176470588235,38.0,43.0,42.0,28.925,32.8625,1.0
