source_dataset,source_row_id,hand_id,stage_group,metadata.street,split,features.to_call_bb,features.effective_stack_bb,features.players_active,features.equity_win,features.equity_win_present,features.call_max_bb,features.call_margin_bb,features.pot_certain_bb,features.pot_probable_bb,features.pot_probable_margin_bb,features.ev_certain_bb,features.ev_probable_bb,features.bet_size_bb,label_3intent
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:100,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.194444,0.194444,1.6896503781239294,0.6896503781239294,8.0,13.0,12.0,0.555552,1.5277720000000001,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1015,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.8,0.8,148.00000000000003,147.00000000000003,38.0,43.0,42.0,29.400000000000002,33.4,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1021,,POSTFLOP,FLOP,train,0.0,100.0,6.0,0.158333,0.158333,1.1287100480356247,1.1287100480356247,6.0,6.0,6.0,0.949998,0.949998,0.0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1076,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.181944,0.181944,6.67230605239739,5.67230605239739,31.0,36.0,35.0,4.640264,5.549984,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1100,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.8125,0.8125,156.0,155.0,37.0,42.0,41.0,29.0625,33.125,1.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:112,,POSTFLOP,FLOP,test,1.0,100.0,6.0,0.516667,0.516667,23.517272770532944,22.517272770532944,23.0,28.0,27.0,10.883341,13.466676,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:113,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.348611,0.348611,19.80169606794097,18.80169606794097,38.0,43.0,42.0,12.247218,13.990273,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1135,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.268056,0.268056,10.986742155137554,9.986742155137554,31.0,36.0,35.0,7.309736000000001,8.650016,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1143,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.025,0.025,0.4358974358974359,-0.5641025641025641,18.0,23.0,22.0,-0.55,-0.42499999999999993,1.0,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1183,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.304167,0.304167,7.431149428095535,6.431149428095535,18.0,23.0,22.0,4.4750060000000005,5.995841,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1184,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.329167,0.329167,3.4347877936833755,2.4347877936833755,8.0,13.0,12.0,1.633336,3.279171,1.0,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:12,,POSTFLOP,FLOP,train,1.0,100.0,6.0,0.545833,0.545833,13.220165709970122,12.220165709970122,12.0,17.0,16.0,5.549996,8.279161,1.0,CALL
