source_dataset,source_row_id,label_3intent
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:100,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1015,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1021,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1076,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1100,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:113,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1135,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1143,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1183,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1184,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:12,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1266,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1268,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1277,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1322,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1336,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1415,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1429,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:148,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1484,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1497,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1520,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1526,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1528,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1563,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1567,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1568,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1607,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1622,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1628,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1634,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1644,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1653,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1663,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1670,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1694,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1705,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1707,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1718,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1732,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1853,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:193,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1943,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1949,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1990,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2002,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2006,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2007,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2088,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2114,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:2126,RAISE
