source_dataset,source_row_id,label_3intent
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:0,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1002,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1003,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1005,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1007,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:101,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1011,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1013,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1019,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:102,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1022,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1024,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1026,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1029,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1032,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1033,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1034,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1036,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1043,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1044,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1051,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1057,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1058,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1060,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1063,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1064,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1065,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1066,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1068,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:107,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1073,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1077,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:108,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1084,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1085,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1089,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1091,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1094,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1096,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:11,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1105,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1106,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1110,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1118,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1119,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1120,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1121,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1122,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1125,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1133,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1138,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:114,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1141,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1142,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1146,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1149,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:115,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1156,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1157,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1159,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1160,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1161,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1167,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1168,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1173,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1175,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1176,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1180,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1182,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1186,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1189,NO_INVEST
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1190,CALL
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1198,RAISE
PokerBench,pokerbench:postflop_10k_test_set_game_scenario_information.csv:1199,CALL
